MRPL24 (79590),MRPL24
MRPL27 (51264),MRPL27
MRPL32 (64983),MRPL32
MRPL34 (64981),MRPL34
MRPL35 (51318),MRPL35
MRPL36 (64979),MRPL36
MRPL38 (64978),MRPL38
MRPL4 (51073),MRPL4
MRPL41 (64975),MRPL41
MRPL43 (84545),MRPL43
MRPL45 (84311),MRPL45
MRPL49 (740),MRPL49
MRPL51 (51258),MRPL51
MRPL53 (116540),MRPL53
MRPL55 (128308),MRPL55
MRPL57 (78988),MRPL57
MRPL58 (3396),MRPL58
MRPL9 (65005),MRPL9
MRPS10 (55173),MRPS10
MRPS11 (64963),MRPS11
MRPS12 (6183),MRPS12
MRPS14 (63931),MRPS14
MRPS15 (64960),MRPS15
MRPS16 (51021),MRPS16
MRPS18A (55168),MRPS18A
MRPS18B (28973),MRPS18B
MRPS21 (54460),MRPS21
MRPS22 (56945),MRPS22
MRPS23 (51649),MRPS23
MRPS27 (23107),MRPS27
MRPS28 (28957),MRPS28
MRPS34 (65993),MRPS34
MRPS35 (60488),MRPS35
MRPS5 (64969),MRPS5
MRPS7 (51081),MRPS7
MRTO4 (51154),MRTO4
MSTO1 (55154),MSTO1
MT1B (4490),MT1B
MT1E (4493),MT1E
MT2A (4502),MT2A
MTBP (27085),MTBP
MTIF2 (4528),MTIF2
