index,epsilon,pvalue,gene,product
SNX7,0.5671005,0.07705896106597818,SNX7,0.6312831485541928
VWA5A,0.6103096666666668,0.09300439546355484,VWA5A,0.6295323008591819
API5,0.3806796666666667,0.022748150513130203,API5,0.625477213594464
UBE2A,0.2940183333333333,0.0074791625113131656,UBE2A,0.6251262062078543
OR6N1_ENST00000335094.2,0.3539136666666666,0.017227093293844992,OR6N1,0.6242286763001044
ZNF816_P1,0.316761,0.010720872661339795,ZNF816,0.6239462713679742
AQP12A,0.3870469999999999,0.02450994481334753,AQP12A,0.6234002178866018
TXNDC2,0.6081638333333333,0.09492523788442074,TXNDC2,0.6219194689144931
HCN4,0.3266803333333333,0.012489220175438579,HCN4,0.6218244755120191
EPS8L3,0.4227005,0.03392514048234957,EPS8L3,0.6211492312857598
DYNC2LI1,0.4984071666666666,0.0567450540013693,DYNC2LI1,0.621051208182152
NTC_784,0.30101166666666673,0.008724520242862402,NTC,0.6198608167337644
TM9SF1_P2,0.30782833333333337,0.009718793299940371,TM9SF1,0.6194699376700534
GPR113,0.3864803333333333,0.025042852716365662,GPR113,0.6188772190127692
FAP,0.2885783333333334,0.00732776366022244,FAP,0.6161229794991235
FBXL19,0.32301499999999994,0.012537832166587387,FBXL19,0.6143026746649776
TM7SF3,0.382747,0.025042852716365662,TM7SF3,0.6128989718635455
CKAP2,0.305763,0.010185701956001693,CKAP2,0.6090826588353757
GDI2_P2,0.3063716666666667,0.010313755238291256,GDI2,0.6086327996145058
PGD,0.3179066666666666,0.012278152074009677,PGD,0.6074773558266873
NTC_2973,0.5858768333333334,0.09188772114087736,NTC,0.6074034240428082
TET2,0.4698705,0.05105442104243762,TET2,0.6070570131626011
IL15,0.36037633333333335,0.02071020790561541,IL15,0.6068072707796397
