gene name,log2 fold change of elderly vs adult,ratio of cells express this gene in elderly,ratio of cells express this gene in adult,Wilcox's p-value,q-value,cell type
TMEM160,-1.284509283,0.394,6.38E-01,0.00E+00,0.00E+00,L2/3
HPCA,-1.392942691,0.357,6.00E-01,0.00E+00,0.00E+00,L2/3
ARHGDIG,-1.463249016,0.355,5.98E-01,0.00E+00,0.00E+00,L2/3
C9orf16,-1.197887451,0.423,6.61E-01,0.00E+00,0.00E+00,L2/3
MEIS3,-1.016464649,0.435,6.73E-01,0.00E+00,0.00E+00,L2/3
RAB3A,-1.472872095,0.441,6.77E-01,0.00E+00,0.00E+00,L2/3
ARF5,-1.359050579,0.362,5.98E-01,0.00E+00,0.00E+00,L2/3
INPP4B,1.105735589,0.867,6.35E-01,0.00E+00,0.00E+00,L2/3
GNG3,-1.306244831,3.20E-01,5.50E-01,0.00E+00,0.00E+00,L2/3
LY6H,-1.300772318,5.36E-01,7.66E-01,0.00E+00,0.00E+00,L2/3
STUB1,-1.278796207,3.50E-01,5.77E-01,0.00E+00,0.00E+00,L2/3
TRAPPC5,-1.309001832,3.50E-01,5.77E-01,0.00E+00,0.00E+00,L2/3
LY6E,-1.326381815,3.44E-01,5.69E-01,0.00E+00,0.00E+00,L2/3
KCNF1,-1.779422997,1.38E-01,3.59E-01,0.00E+00,0.00E+00,L2/3
CTXN1,-1.323319231,3.71E-01,5.92E-01,0.00E+00,0.00E+00,L2/3
SPOCK3,1.045179996,6.80E-01,4.61E-01,0.00E+00,0.00E+00,L2/3
SEPTIN5,-1.431404093,2.12E-01,4.29E-01,0.00E+00,0.00E+00,L2/3
RHBDL3,0.701506328,6.60E-01,4.44E-01,0.00E+00,0.00E+00,L2/3
ATP6V0B,-1.437002457,5.61E-01,7.74E-01,0.00E+00,0.00E+00,L2/3
TUBB2A,-1.312838319,4.78E-01,6.90E-01,0.00E+00,0.00E+00,L2/3
EDF1,-1.128669935,3.97E-01,6.08E-01,0.00E+00,0.00E+00,L2/3
PRDX5,-1.19864654,3.12E-01,5.19E-01,0.00E+00,0.00E+00,L2/3
SET,-1.177024542,4.87E-01,6.94E-01,0.00E+00,0.00E+00,L2/3
AP1S1,-1.082700413,4.13E-01,6.19E-01,0.00E+00,0.00E+00,L2/3
ANTKMT,-1.223098708,3.91E-01,5.97E-01,0.00E+00,0.00E+00,L2/3
GPX4,-1.094173992,4.95E-01,7.00E-01,0.00E+00,0.00E+00,L2/3
ATP5F1D,-1.10561876,4.12E-01,6.16E-01,0.00E+00,0.00E+00,L2/3
RNASEK,-1.208388957,4.93E-01,6.95E-01,0.00E+00,0.00E+00,L2/3
AC092640.1,-1.44402543,1.76E-01,3.77E-01,0.00E+00,0.00E+00,L2/3
C4orf48,-1.248142209,3.08E-01,5.09E-01,0.00E+00,0.00E+00,L2/3
RASL10A,-1.34408191,3.14E-01,5.15E-01,0.00E+00,0.00E+00,L2/3
TUBB3,-1.256521301,4.69E-01,6.69E-01,0.00E+00,0.00E+00,L2/3
RABAC1,-1.200983239,3.53E-01,5.53E-01,0.00E+00,0.00E+00,L2/3
OPRM1,1.118525883,5.80E-01,3.80E-01,0.00E+00,0.00E+00,L2/3
RPL29,-0.969986788,4.35E-01,6.32E-01,0.00E+00,0.00E+00,L2/3
SEMA3A,1.531638985,4.33E-01,2.36E-01,0.00E+00,0.00E+00,L2/3
XKR9,1.058217963,4.71E-01,2.74E-01,0,0.00E+00,L2/3
RPL18A,-0.941571348,3.97E-01,5.94E-01,0,0.00E+00,L2/3
TUBA1A,-1.300755623,6.11E-01,0.807,0,0.00E+00,L2/3
SLC25A4,-1.17905341,4.60E-01,0.656,0,0.00E+00,L2/3
KCNH4,-1.394555461,2.58E-01,0.453,0,0.00E+00,L2/3
TUBA4A,-1.136303696,4.23E-01,0.616,0,0.00E+00,L2/3
GUK1,-1.151509802,5.96E-01,0.788,0,0.00E+00,L2/3
PSMD8,-1.108750597,3.60E-01,0.552,0,0.00E+00,L2/3
RPS3A,-1.145490572,4.85E-01,0.675,0,0.00E+00,L2/3
CDK5R2,-1.224937266,2.94E-01,0.484,0,0.00E+00,L2/3
AURKAIP1,-1.141120256,2.65E-01,0.454,0,0,L2/3
TGFBR3L,-1.452072469,1.88E-01,0.377,0,0.00E+00,L2/3
PPDPF,-1.127556925,3.40E-01,0.529,0,0.00E+00,L2/3
AL122014.1,-1.948730188,1.07E-01,0.295,0,0.00E+00,L2/3
ROGDI,-1.019765094,4.17E-01,0.605,0,0.00E+00,L2/3
ADAMTS2,1.009609217,3.64E-01,0.177,0,0.00E+00,L2/3
NAT14,-1.164385077,2.79E-01,0.466,0,0.00E+00,L2/3
STARD13,0.958691086,7.14E-01,0.527,0,0.00E+00,L2/3
TMEM205,-1.056012937,4.20E-01,0.606,0,0.00E+00,L2/3
RPL8,-0.957359803,4.82E-01,0.667,0,0.00E+00,L2/3
ITPR2,0.856505209,7.86E-01,0.601,0,0.00E+00,L2/3
PRELID1,-1.223756671,2.16E-01,0.401,0,0.00E+00,L2/3
MICOS13,-1.14594709,2.53E-01,0.438,0,0.00E+00,L2/3
MAP1LC3A,-0.958996295,5.76E-01,0.76,0,0.00E+00,L2/3
CYC1,-1.418250902,2.15E-01,0.399,0,0.00E+00,L2/3
NPTX2,-1.586719386,2.17E-01,0.399,0,0.00E+00,L2/3
RPS5,-0.977798367,3.06E-01,0.488,0,0.00E+00,L2/3
ELOB,-1.000966103,3.95E-01,0.577,0,0.00E+00,L2/3
TTYH1,-1.017564391,5.36E-01,0.718,0,0.00E+00,L2/3
CD63,-1.145274174,4.12E-01,0.593,0,0.00E+00,L2/3
PMM1,-1.069206331,2.75E-01,0.456,0,0.00E+00,L2/3
B4GAT1,-1.139224676,3.97E-01,0.578,0,0.00E+00,L2/3
TMEM208,-1.307955271,1.98E-01,0.378,0,0.00E+00,L2/3
UQCR11,-0.947501795,4.03E-01,0.583,0,0.00E+00,L2/3
BRK1,-1.020995507,4.63E-01,0.642,0,0.00E+00,L2/3
AL627171.2,1.72867332,2.55E-01,0.076,0,0.00E+00,L2/3
TPI1,-1.050032056,5.01E-01,0.679,0,0.00E+00,L2/3
MIF,-0.995182003,5.08E-01,0.686,0,0.00E+00,L2/3
PRDX2,-1.108284718,4.13E-01,0.591,0,0.00E+00,L2/3
CHCHD2,-0.888135236,4.91E-01,0.668,0,0.00E+00,L2/3
KIF13B,0.763023997,5.52E-01,0.376,0,0.00E+00,L2/3
SELENOH,-0.936873004,4.90E-01,0.665,0,0.00E+00,L2/3
NDUFA11,-1.000619637,3.19E-01,0.494,0,0.00E+00,L2/3
JAM2,-1.055385297,2.91E-01,0.465,0,0.00E+00,L2/3
H2AFZ,-0.936651529,4.51E-01,0.625,0,0.00E+00,L2/3
FNDC4,-1.327752154,2.11E-01,0.383,0,0.00E+00,L2/3
MPG,-0.987828783,3.23E-01,0.495,0,0.00E+00,L2/3
AP2S1,-1.06826659,3.25E-01,0.497,0,0.00E+00,L2/3
GABRD,-0.996335907,0.538,0.71,0,0,L2/3
ITM2C,-1.101645105,0.543,0.715,0,0,L2/3
EXPH5,-1.297643977,0.181,0.352,0,0,L2/3
TUFM,-1.038673249,0.325,0.496,0,0,L2/3
CDKN2D,-1.127190414,0.322,0.493,0,0,L2/3
PSMB6,-1.249860346,0.204,0.374,0,0,L2/3
FBXW5,-1.033881798,0.335,0.505,0,0,L2/3
RPL7A,-0.975537479,0.618,0.787,0,0,L2/3
RASGRP1,-0.913075288,0.362,0.531,0,0,L2/3
SGCZ,-0.623043331,0.436,0.605,0,0,L2/3
UQCRFS1,-1.031364438,0.333,0.502,0,0,L2/3
UBE2M,-1.070188519,0.328,0.497,0,0,L2/3
RPL19,-0.86774963,0.519,0.687,0,0,L2/3
AP2M1,-1.14169318,0.62,0.787,0,0,L2/3
ATP5F1E,-0.962116316,0.497,0.664,0,0,L2/3
CUTA,-1.147739536,0.268,0.435,0,0,L2/3
CTSF,-1.030937333,0.409,0.576,0,0,L2/3
SYT5,-0.978876608,0.454,0.621,0,0,L2/3
CD81,-1.00815714,0.353,0.519,0,0,L2/3
METTL26,-0.948980015,0.374,0.54,0,0,L2/3
PLEKHJ1,-1.161035336,0.207,0.373,0,0,L2/3
CAMK1,-0.930981977,0.411,0.577,0,0,L2/3
INF2,-0.971593639,0.328,0.494,0,0,L2/3
RPL26,-0.86180559,0.564,0.729,0,0,L2/3
MAMDC2,0.984358156,0.379,0.214,0,0,L2/3
MRPS24,-1.207916451,0.2,0.365,0,0,L2/3
CNIH2,-1.273054278,0.263,0.428,0,0,L2/3
TUBB4B,-1.073032842,0.379,0.543,0,0,L2/3
UBL5,-0.905818396,0.372,0.536,0,0,L2/3
ATP5MC3,-0.881778635,0.443,0.607,0,0,L2/3
PTGES2,-1.022361797,0.308,0.472,0,0,L2/3
ERP29,-1.097073364,0.275,0.439,0,0,L2/3
RPSA,-0.916070987,0.535,0.699,0,0,L2/3
ATP6V0E2,-1.007596456,0.558,0.722,0,0,L2/3
LINC02398,0.770834045,0.547,0.384,0,0,L2/3
GABARAP,-0.884470258,0.438,0.601,0,0,L2/3
RPS27A,-0.793976753,0.587,0.749,0,0,L2/3
PLK2,-0.916333315,5.24E-01,0.686,0,0.00E+00,L2/3
RPL36AL,-0.949681386,3.04E-01,0.466,0,0.00E+00,L2/3
NDUFA13,-0.967764865,0.566,0.728,0,0,L2/3
YJEFN3,-0.945562021,0.501,0.663,0,0,L2/3
MIR31HG,0.996402391,3.80E-01,0.218,0,0.00E+00,L2/3
B3GAT3,-0.980657615,0.328,0.49,0,0,L2/3
AC096576.3,1.052146328,0.536,0.375,0,0,L2/3
AC096576.2,1.236279256,0.542,0.381,0,0,L2/3
NDUFV1,-0.911678859,0.573,0.734,0,0,L2/3
MOAP1,-0.952826378,0.477,0.638,0,0,L2/3
COX5A,-0.984791653,0.346,0.507,0,0,L2/3
COX4I1,-0.94418948,5.89E-01,0.75,0,0.00E+00,L2/3
RETREG2,-0.920993576,4.33E-01,0.594,0,0.00E+00,L2/3
RPL10A,-0.854469249,0.441,0.602,0,0,L2/3
GPAA1,-1.095092631,0.246,0.407,0,0,L2/3
RPS18,-0.908785276,0.517,0.677,0,0,L2/3
NME2,-0.837588167,0.47,0.63,0.00E+00,0.00E+00,L2/3
PSMC5,-1.061957444,0.318,0.478,0.00E+00,0.00E+00,L2/3
NREP,-1.027484807,0.548,7.08E-01,0.00E+00,0.00E+00,L2/3
ARL6IP4,-0.853801144,0.491,6.50E-01,0.00E+00,0.00E+00,L2/3
LINC00508,-1.425457337,0.163,3.22E-01,0.00E+00,0.00E+00,L2/3
DRAP1,-0.949266442,0.337,4.96E-01,0.00E+00,0.00E+00,L2/3
CA4,-1.07622388,0.342,5.01E-01,0.00E+00,0.00E+00,L2/3
MZT2B,-0.850888727,0.47,6.28E-01,0.00E+00,0.00E+00,L2/3
CORO1A,-1.150538716,0.244,4.02E-01,0,0.00E+00,L2/3
RAN,-0.910836041,0.426,5.84E-01,0.00E+00,0.00E+00,L2/3
CAMKV,-0.857057082,0.607,0.764,0.00E+00,0.00E+00,L2/3
CHCHD10,-0.878418046,0.517,6.74E-01,0.00E+00,0.00E+00,L2/3
RNF187,-1.016255189,0.32,4.77E-01,0.00E+00,0.00E+00,L2/3
LRPAP1,-1.035320426,0.457,6.14E-01,0.00E+00,0.00E+00,L2/3
CYCS,-0.905449338,0.45,6.07E-01,0.00E+00,0.00E+00,L2/3
NDUFB7,-1.041167554,0.268,4.25E-01,0.00E+00,0.00E+00,L2/3
PSMD2,-0.916213477,0.387,5.43E-01,0.00E+00,0.00E+00,L2/3
IDH2,-0.936286275,0.38,5.36E-01,0.00E+00,0.00E+00,L2/3
STARD4-AS1,-0.765516718,0.448,6.04E-01,0.00E+00,0.00E+00,L2/3
PSMC3,-1.096189826,0.254,4.10E-01,0.00E+00,0.00E+00,L2/3
CIAO2B,-0.876297059,0.338,4.94E-01,0.00E+00,0.00E+00,L2/3
FIS1,-0.90322629,0.354,5.09E-01,0.00E+00,0.00E+00,L2/3
STMN4,-0.910253875,0.509,6.64E-01,0.00E+00,0.00E+00,L2/3
RPS19BP1,-1.044504353,0.204,3.59E-01,0.00E+00,0.00E+00,L2/3
ADAMTSL1,1.010348606,0.492,3.37E-01,0.00E+00,0.00E+00,L2/3
NDUFB10,-0.899338276,0.315,4.70E-01,0.00E+00,0.00E+00,L2/3
C1orf122,-0.920015337,0.308,4.62E-01,0.00E+00,0.00E+00,L2/3
SPCS1,-0.918361019,0.433,5.87E-01,0.00E+00,0.00E+00,L2/3
FAU,-0.764127671,0.461,6.15E-01,0.00E+00,0.00E+00,L2/3
FIBP,-1.023024202,0.268,4.22E-01,0.00E+00,0.00E+00,L2/3
RPS7,-0.882801323,0.557,7.11E-01,0.00E+00,0.00E+00,L2/3
ITPKA,-0.880526787,0.508,6.61E-01,0.00E+00,0.00E+00,L2/3
SSBP4,-0.984638133,0.607,7.60E-01,0.00E+00,0.00E+00,L2/3
TIMM13,-1.037820116,0.213,3.66E-01,0.00E+00,0.00E+00,L2/3
SELENOM,-1.074924602,0.224,3.77E-01,0.00E+00,0.00E+00,L2/3
RPS13,-0.919426268,0.347,4.99E-01,0.00E+00,0.00E+00,L2/3
PTMS,-0.867687271,0.504,6.56E-01,0.00E+00,0.00E+00,L2/3
GABARAPL2,-0.842799133,0.497,6.49E-01,0,0.00E+00,L2/3
RPL18,-0.786407103,0.576,7.28E-01,0,0.00E+00,L2/3
LINC02223,0.691487368,0.641,0.49,0.00E+00,0.00E+00,L2/3
NDUFC2,-0.996933926,0.507,0.658,0.00E+00,0.00E+00,L2/3
SERF2,-0.863880252,0.384,5.35E-01,0.00E+00,0.00E+00,L2/3
SCAND1,-1.311216674,0.153,3.04E-01,0.00E+00,0.00E+00,L2/3
TM7SF2,-1.046652784,0.278,4.29E-01,0.00E+00,0.00E+00,L2/3
SPEF1,-1.19631511,0.2,3.51E-01,0.00E+00,0.00E+00,L2/3
CHGB,-0.967620684,0.43,5.81E-01,0.00E+00,0.00E+00,L2/3
COX5B,-0.846167754,4.83E-01,6.33E-01,0.00E+00,0.00E+00,L2/3
TMEM240,-1.021368722,3.35E-01,4.85E-01,0.00E+00,0.00E+00,L2/3
BTF3,-0.929584346,0.342,4.92E-01,0.00E+00,0.00E+00,L2/3
PGAM1,-0.861782257,0.458,6.08E-01,0.00E+00,0.00E+00,L2/3
RPL11,-0.801628986,5.27E-01,6.76E-01,0.00E+00,0.00E+00,L2/3
DCTN3,-0.960579791,0.289,4.38E-01,0.00E+00,0.00E+00,L2/3
MCRIP1,-0.997186524,0.301,4.50E-01,0.00E+00,0.00E+00,L2/3
RPS15,-0.770367457,0.575,7.24E-01,0.00E+00,0.00E+00,L2/3
REX1BD,-0.884449034,5.32E-01,6.81E-01,0.00E+00,0.00E+00,L2/3
SSNA1,-1.151394278,0.213,3.62E-01,0.00E+00,0.00E+00,L2/3
ATP6V1F,-0.889191048,0.39,5.38E-01,0.00E+00,0.00E+00,L2/3
FBXL15,-0.9570231,0.308,4.56E-01,0.00E+00,0.00E+00,L2/3
SPATA2L,-0.997627022,0.255,4.03E-01,0.00E+00,0.00E+00,L2/3
ZNF428,-0.880710428,3.50E-01,4.98E-01,0.00E+00,0.00E+00,L2/3
SELENOW,-0.999236812,7.09E-01,8.57E-01,0.00E+00,0.00E+00,L2/3
ECE2,-1.418510789,0.234,3.82E-01,0.00E+00,0.00E+00,L2/3
SLC30A3,-0.895277317,0.455,6.03E-01,0.00E+00,0.00E+00,L2/3
ADAMTS8,-0.991605429,0.324,4.72E-01,0.00E+00,0.00E+00,L2/3
UBB,-0.967961919,5.48E-01,6.96E-01,0.00E+00,0.00E+00,L2/3
DUBR,0.624859563,7.58E-01,6.11E-01,0.00E+00,0.00E+00,L2/3
ATP5MC1,-0.810445128,3.95E-01,5.42E-01,0.00E+00,0.00E+00,L2/3
EGFL7,-0.95376288,3.01E-01,4.47E-01,0.00E+00,0.00E+00,L2/3
ABHD14A,-0.950750893,0.357,5.02E-01,0.00E+00,0.00E+00,L2/3
HINT1,-0.846614244,6.26E-01,7.71E-01,0.00E+00,0.00E+00,L2/3
CEND1,-0.827313087,5.39E-01,6.84E-01,0.00E+00,0.00E+00,L2/3
MRPL4,-0.906729988,3.20E-01,4.65E-01,0.00E+00,0.00E+00,L2/3
RTN4R,-1.024601877,0.304,4.49E-01,0.00E+00,0.00E+00,L2/3
MED10,-0.801537151,4.21E-01,5.66E-01,0.00E+00,0.00E+00,L2/3
NRN1,-1.035027603,0.605,7.49E-01,0.00E+00,0.00E+00,L2/3
RPL3,-0.896389091,6.41E-01,7.85E-01,0.00E+00,0.00E+00,L2/3
UBE2S,-1.256849379,1.70E-01,3.14E-01,0.00E+00,0.00E+00,L2/3
RHBDD2,-0.887647139,4.24E-01,5.68E-01,0.00E+00,0.00E+00,L2/3
NME3,-0.822404571,5.37E-01,6.80E-01,0.00E+00,0.00E+00,L2/3
FKBP8,-0.852745488,0.506,6.49E-01,0.00E+00,0.00E+00,L2/3
MFSD10,-0.849231407,4.29E-01,5.72E-01,0.00E+00,0.00E+00,L2/3
TMSB10,-1.043927815,6.81E-01,8.24E-01,0.00E+00,0.00E+00,L2/3
CRIP2,-0.831477606,4.12E-01,5.54E-01,0.00E+00,0.00E+00,L2/3
CES4A,-1.045475163,6.27E-01,7.69E-01,0.00E+00,0.00E+00,L2/3
RPS21,-0.803053959,5.03E-01,6.45E-01,0.00E+00,0.00E+00,L2/3
RGS4,-0.944356019,6.81E-01,8.23E-01,0.00E+00,0.00E+00,L2/3
TLE4,0.669838033,6.75E-01,5.34E-01,0.00E+00,0.00E+00,L2/3
LHFPL6,0.832781973,7.73E-01,6.32E-01,0.00E+00,0.00E+00,L2/3
RHOT2,-0.823578263,5.64E-01,7.05E-01,0.00E+00,0.00E+00,L2/3
CENPT,-0.911849927,4.09E-01,5.49E-01,0.00E+00,0.00E+00,L2/3
AGRN,-0.863515237,3.75E-01,5.15E-01,0.00E+00,0.00E+00,L2/3
OAZ1,-0.919974969,6.88E-01,8.28E-01,0.00E+00,0.00E+00,L2/3
ATP5PF,-0.801111285,5.22E-01,6.62E-01,0.00E+00,0.00E+00,L2/3
LDHA,-0.905822407,4.26E-01,5.66E-01,0.00E+00,0.00E+00,L2/3
COX6B1,-0.799578145,4.11E-01,5.50E-01,0.00E+00,0.00E+00,L2/3
RPL21,-0.92457156,5.27E-01,6.66E-01,0.00E+00,0.00E+00,L2/3
DIRAS1,-0.842608802,4.03E-01,5.42E-01,0,0.00E+00,L2/3
ATP6V1G2,-0.844113205,4.44E-01,5.83E-01,0.00E+00,0.00E+00,L2/3
STX1A,-0.983041448,6.04E-01,0.742,0.00E+00,0.00E+00,L2/3
VDAC2,-0.954081365,3.92E-01,5.30E-01,0.00E+00,0.00E+00,L2/3
MLF2,-0.779240159,5.80E-01,7.18E-01,0.00E+00,0.00E+00,L2/3
PIN1,-0.888134722,5.91E-01,7.29E-01,0.00E+00,0.00E+00,L2/3
ATP6V0D1,-0.864424984,4.55E-01,5.93E-01,0.00E+00,0.00E+00,L2/3
PLXDC2,0.795483024,8.24E-01,6.86E-01,0.00E+00,0.00E+00,L2/3
PARK7,-0.821780871,4.31E-01,5.68E-01,0.00E+00,0.00E+00,L2/3
CHKB,-0.981508407,4.20E-01,5.56E-01,0.00E+00,0.00E+00,L2/3
CLTB,-0.78783019,4.73E-01,6.09E-01,0.00E+00,0.00E+00,L2/3
SEC11C,-1.01292327,3.53E-01,4.89E-01,0.00E+00,0.00E+00,L2/3
RPS9,-0.735205683,4.76E-01,6.12E-01,0.00E+00,0.00E+00,L2/3
TMEM132A,-0.860494854,4.64E-01,6.00E-01,0.00E+00,0.00E+00,L2/3
MRFAP1,-0.778710066,4.25E-01,5.60E-01,0.00E+00,0.00E+00,L2/3
KCTD17,-0.827932455,3.83E-01,5.18E-01,0.00E+00,0.00E+00,L2/3
MYL6B,-0.78115411,4.15E-01,5.49E-01,0.00E+00,0.00E+00,L2/3
RPL15,-0.865228318,6.66E-01,8.00E-01,0.00E+00,0.00E+00,L2/3
UQCRC1,-0.845152111,4.05E-01,5.39E-01,0.00E+00,0.00E+00,L2/3
RPL35A,-0.847330756,5.10E-01,6.44E-01,0.00E+00,0.00E+00,L2/3
GRINA,-0.856546751,3.97E-01,5.31E-01,0.00E+00,0.00E+00,L2/3
UBC,-0.985220403,6.26E-01,7.60E-01,0.00E+00,0.00E+00,L2/3
APLP1,-1.068205268,7.01E-01,8.34E-01,0.00E+00,0.00E+00,L2/3
NDUFS5,-0.766457971,4.69E-01,6.00E-01,0.00E+00,0.00E+00,L2/3
RPL36,-0.726113215,5.23E-01,6.54E-01,0.00E+00,0.00E+00,L2/3
TMEM175,-0.776113635,5.38E-01,6.68E-01,0.00E+00,0.00E+00,L2/3
UBA6-AS1,0.846138921,8.48E-01,7.18E-01,0.00E+00,0.00E+00,L2/3
MSMO1,-0.859977795,3.93E-01,5.23E-01,0.00E+00,0.00E+00,L2/3
ARHGEF2,-0.77310718,5.14E-01,6.43E-01,0.00E+00,0.00E+00,L2/3
TUBB,-0.842757063,4.72E-01,6.01E-01,0.00E+00,0.00E+00,L2/3
CFL1,-0.820776036,6.32E-01,7.61E-01,0.00E+00,0.00E+00,L2/3
TCEA2,-0.744396982,4.76E-01,6.04E-01,0.00E+00,0.00E+00,L2/3
RPS6KL1,-0.809654231,4.53E-01,5.81E-01,0.00E+00,0.00E+00,L2/3
ATP5ME,-0.712715651,5.29E-01,6.56E-01,0.00E+00,0.00E+00,L2/3
RPS14,-0.740099929,6.16E-01,7.43E-01,0.00E+00,0.00E+00,L2/3
NDUFB8,-0.897197157,6.85E-01,8.12E-01,0.00E+00,0.00E+00,L2/3
GAPDH,-1.345325058,7.56E-01,8.83E-01,0.00E+00,0.00E+00,L2/3
PGP,-0.864282411,6.40E-01,7.67E-01,0.00E+00,0.00E+00,L2/3
ACTG1,-0.872072241,6.97E-01,8.24E-01,0.00E+00,0.00E+00,L2/3
FBXO2,-0.802068937,4.64E-01,5.91E-01,0.00E+00,0.00E+00,L2/3
LDHB,-0.948665015,5.52E-01,6.78E-01,0.00E+00,0.00E+00,L2/3
ATP6V0C,-1.097533475,7.43E-01,8.69E-01,0.00E+00,0.00E+00,L2/3
SOD1,-0.797798068,5.81E-01,7.07E-01,0.00E+00,0.00E+00,L2/3
PSMA7,-0.761830303,4.61E-01,5.87E-01,0.00E+00,0.00E+00,L2/3
BCL2,0.551855005,7.73E-01,6.48E-01,0.00E+00,0.00E+00,L2/3
ARHGAP10,-0.751249797,5.88E-01,7.12E-01,0.00E+00,0.00E+00,L2/3
GPR162,-0.748364339,4.82E-01,6.06E-01,0.00E+00,0.00E+00,L2/3
LRCH1,0.558490837,7.43E-01,6.19E-01,0.00E+00,0.00E+00,L2/3
RACK1,-0.718228986,4.76E-01,5.99E-01,0.00E+00,0.00E+00,L2/3
AC006148.1,0.734026861,8.36E-01,7.13E-01,0.00E+00,0.00E+00,L2/3
SUMO2,-0.688053653,5.51E-01,6.74E-01,0.00E+00,0.00E+00,L2/3
FTL,-0.888550626,7.01E-01,8.24E-01,0.00E+00,0.00E+00,L2/3
PFDN5,-0.713803119,5.51E-01,6.73E-01,0.00E+00,0.00E+00,L2/3
SLC25A3,-0.851998256,5.89E-01,7.11E-01,0.00E+00,0.00E+00,L2/3
RPL17,-0.766376539,5.34E-01,6.56E-01,0.00E+00,0.00E+00,L2/3
RPL28,-0.677499749,5.80E-01,7.02E-01,0.00E+00,0.00E+00,L2/3
PINK1,-0.774714449,4.79E-01,6.00E-01,0.00E+00,0.00E+00,L2/3
RPL9,-0.768963013,6.01E-01,7.22E-01,0.00E+00,0.00E+00,L2/3
RPS23,-0.782800164,5.49E-01,6.70E-01,0.00E+00,0.00E+00,L2/3
HTR1E,0.668830085,8.20E-01,6.99E-01,0.00E+00,0.00E+00,L2/3
NPDC1,-0.903798898,7.19E-01,8.40E-01,0.00E+00,0.00E+00,L2/3
VAMP2,-1.117265736,7.95E-01,9.16E-01,0.00E+00,0.00E+00,L2/3
TMA7,-0.686647333,5.65E-01,6.85E-01,0.00E+00,0.00E+00,L2/3
GOT1,-0.708620242,5.61E-01,6.81E-01,0.00E+00,0.00E+00,L2/3
ATP5MPL,-0.677040639,5.98E-01,7.18E-01,0.00E+00,0.00E+00,L2/3
YPEL3,-0.782129272,6.11E-01,7.31E-01,0.00E+00,0.00E+00,L2/3
EEF1A2,-0.942895277,5.14E-01,6.34E-01,0.00E+00,0.00E+00,L2/3
CALY,-1.066743153,7.41E-01,8.60E-01,0.00E+00,0.00E+00,L2/3
RHBDL1,-0.805780825,4.90E-01,6.09E-01,0.00E+00,0.00E+00,L2/3
CYHR1,-0.704123901,5.69E-01,6.87E-01,0.00E+00,0.00E+00,L2/3
RPL6,-0.741153977,5.72E-01,6.90E-01,0.00E+00,0.00E+00,L2/3
SRP14,-0.725038024,6.03E-01,7.21E-01,0.00E+00,0.00E+00,L2/3
NEIL1,-0.7510258,4.69E-01,5.87E-01,0.00E+00,0.00E+00,L2/3
ADGRB2,-0.730745554,6.39E-01,7.56E-01,0.00E+00,0.00E+00,L2/3
SNCB,-0.795476522,5.35E-01,6.52E-01,0.00E+00,0.00E+00,L2/3
BSG,-0.711446972,6.28E-01,7.45E-01,0.00E+00,0.00E+00,L2/3
SHFL,-0.808136425,4.79E-01,5.96E-01,0.00E+00,0.00E+00,L2/3
DDRGK1,-0.642115902,5.69E-01,6.85E-01,0.00E+00,0.00E+00,L2/3
COX7C,-0.70383572,5.83E-01,6.99E-01,0.00E+00,0.00E+00,L2/3
KLHDC3,-0.699586781,5.18E-01,6.34E-01,0.00E+00,0.00E+00,L2/3
PHYHIP,-0.724756013,7.32E-01,8.48E-01,0.00E+00,0.00E+00,L2/3
TPT1,-0.747976175,6.44E-01,7.60E-01,0.00E+00,0.00E+00,L2/3
ZSCAN18,-0.691502255,5.57E-01,6.73E-01,0.00E+00,0.00E+00,L2/3
ANKRD13D,-0.73346323,4.93E-01,6.08E-01,0.00E+00,0.00E+00,L2/3
DOC2A,-0.662811741,5.57E-01,6.72E-01,0.00E+00,0.00E+00,L2/3
NAPA,-0.667330774,5.21E-01,6.36E-01,0.00E+00,0.00E+00,L2/3
P4HTM,-0.701552162,6.66E-01,7.80E-01,0.00E+00,0.00E+00,L2/3
ATP5F1B,-0.812658248,6.22E-01,7.36E-01,0.00E+00,0.00E+00,L2/3
RPL13,-0.764460359,7.01E-01,8.15E-01,0.00E+00,0.00E+00,L2/3
EID1,-0.661846718,5.98E-01,7.11E-01,0.00E+00,0.00E+00,L2/3
AC098588.3,0.65941117,8.32E-01,7.21E-01,0.00E+00,0.00E+00,L2/3
CYP46A1,-0.879758304,7.16E-01,8.27E-01,0.00E+00,0.00E+00,L2/3
NGRN,-0.679505992,6.51E-01,7.62E-01,0.00E+00,0.00E+00,L2/3
RPL32,-0.640235909,6.41E-01,7.51E-01,0.00E+00,0.00E+00,L2/3
AC002460.2,0.573305798,8.15E-01,7.05E-01,0.00E+00,0.00E+00,L2/3
AC016831.7,0.75217983,8.59E-01,7.49E-01,0.00E+00,0.00E+00,L2/3
LINC00507,-0.622406795,6.60E-01,7.70E-01,0.00E+00,0.00E+00,L2/3
EIF1,-0.865250962,7.54E-01,8.64E-01,0.00E+00,0.00E+00,L2/3
ATP5IF1,-0.708161439,5.72E-01,6.81E-01,0.00E+00,0.00E+00,L2/3
RPL14,-0.677893284,6.24E-01,7.33E-01,0.00E+00,0.00E+00,L2/3
CA11,-0.674401053,6.61E-01,7.70E-01,0.00E+00,0.00E+00,L2/3
TMEM259,-0.637860493,5.75E-01,6.83E-01,0.00E+00,0.00E+00,L2/3
